alpha,L1,L2,L3,e1,e2,e3
0.611,-0.15731211970288972,1.1578736695750433,-1.234044266461012,3.6167359120332203,0.3717867231218149,0.016643703496328485
0.612,-0.15874071905903586,1.157493021797107,-1.2343340127943452,3.5911654599390754,0.3725149973014762,0.0167426215201428
0.613,-0.16016963576921417,1.157112143481378,-1.2346230883425533,3.5660482456320866,0.37324372238467496,0.016842045576863605
0.614,-0.16159887319520705,1.1567310357040883,-1.2349114895820406,3.541372335262444,0.3739728987946785,0.01694197837480147
0.615,-0.16302843471427797,1.1563496995370257,-1.2351992129652156,3.517126210051405,0.3747025269548551,0.017042422642295857
0.616,-0.16445832371938118,1.1559681360475658,-1.235486254920263,3.493298748399866,0.37543260728866973,0.017143381127919254
0.617,-0.16588854361935923,1.1555863462986857,-1.2357726118508872,3.4698792089146897,0.37616314021969816,0.017244856600704142
0.618,-0.167319097839158,1.1552043313490006,-1.236058280136124,3.446857214297848,0.3768941261716167,0.017346851850314638
0.619,-0.16874998982003375,1.154822092252789,-1.2363432561300647,3.4242227360480193,0.37762556556820165,0.017449369687290512
0.62,-0.17018122301976613,1.1544396300600104,-1.2366275361616315,3.4019660799270683,0.37835745883334104,0.01755241294324929
0.621,-0.17161280091287368,1.1540569458163432,-1.2369111165343254,3.3800778721471705,0.37908980639101914,0.017655984471111018
0.622,-0.1730447269908314,1.1536740405631982,-1.237193993525998,3.3585490462372674,0.3798226086653322,0.01776008714530429
0.623,-0.17447700476228634,1.1532909153377482,-1.2374761633885847,3.337370830550236,0.3805558660804825,0.017864723862003547
0.624,-0.1759096377532845,1.1529075711729546,-1.23775762234787,3.3165347363744275,0.3812895790607777,0.01796989753934145
0.625,-0.17734262950749202,1.1525240090975948,-1.2380383666032033,3.296032546615952,0.3820237480306282,0.018075611117660706
0.626,-0.17877598358642333,1.1521402301362786,-1.2383183923272814,3.275856305019847,0.3827583734145568,0.018181867559713526
0.627,-0.18020970356966792,1.151756235309475,-1.2385976956658487,3.2559983059005204,0.383493455637197,0.018288669850926777
0.628,-0.18164379305512302,1.1513720256335396,-1.238876272737457,3.236451084353538,0.38422899512328934,0.018396020999620417
0.629,-0.18307825565923042,1.1509876021207435,-1.2391541196331888,3.217207406922648,0.3849649922976759,0.018503924037255353
0.63,-0.18451309501720847,1.1506029657792811,-1.2394312324163814,3.19826026269766,0.38570144758532066,0.01861238201868124
0.631,-0.18594831478329565,1.1502181176133064,-1.2397076071223558,3.179602854819918,0.3864383614112944,0.018721398022380754
0.632,-0.18738391863099169,1.1498330586229577,-1.2399832397581498,3.161228592373975,0.38717573420077356,0.01883097515071075
0.633,-0.18881991025329892,1.1494477898043731,-1.2402581263022165,3.143131082645057,0.3879135663790509,0.018941116530172344
0.634,-0.1902562933629769,1.1490623121497157,-1.2405322627041468,3.125304123723102,0.38865185837153277,0.019051825311661687
0.635,-0.19169307169278516,1.1486766266472028,-1.240805644884387,3.1077416974356646,0.3893906106037322,0.019163104670725368
0.636,-0.19313024899574494,1.1482907342811197,-1.2410782687339341,3.090437962592415,0.39012982350128084,0.019274957807833715
0.637,-0.19456782904538727,1.1479046360318461,-1.2413501301140566,3.0733872485256852,0.3908694974899245,0.01938738794863528
0.638,-0.19600581563601904,1.1475183328758836,-1.2416212248559604,3.0565840489116978,0.39160963299551743,0.01950039834425496
0.639,-0.19744421258298062,1.1471318257858707,-1.241891548760537,3.040023015858606,0.39235023044403183,0.01961399227152626
0.64,-0.198883023722914,1.1467451157306026,-1.2421610975979935,3.0236989542478496,0.3930912902615614,0.01972817303332098
